Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	H1	1	internal://	InInterests	0	0	0	0
1	H1	1	internal://	OutInterests	0	0	0	0
1	H1	1	internal://	InData	0	0	0	0
1	H1	1	internal://	OutData	0	0	0	0
1	H1	1	internal://	InNacks	0	0	0	0
1	H1	1	internal://	OutNacks	0	0	0	0
1	H1	1	internal://	InSatisfiedInterests	0	0	0	0
1	H1	1	internal://	InTimedOutInterests	0	0	0	0
1	H1	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	H1	1	internal://	OutTimedOutInterests	0	0	0	0
1	H1	256	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
1	H1	256	netdev://[00:00:00:00:00:01]	OutInterests	39.2	0.880469	49	1.10059
1	H1	256	netdev://[00:00:00:00:00:01]	InData	30.4	31.3797	38	39.2246
1	H1	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
1	H1	256	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
1	H1	256	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
1	H1	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
1	H1	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
1	H1	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	29.6	0	37	0
1	H1	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
1	H1	257	internal://	InInterests	0	0	0	0
1	H1	257	internal://	OutInterests	0	0	0	0
1	H1	257	internal://	InData	0	0	0	0
1	H1	257	internal://	OutData	0	0	0	0
1	H1	257	internal://	InNacks	0	0	0	0
1	H1	257	internal://	OutNacks	0	0	0	0
1	H1	257	internal://	InSatisfiedInterests	1.6	0	2	0
1	H1	257	internal://	InTimedOutInterests	0	0	0	0
1	H1	257	internal://	OutSatisfiedInterests	0	0	0	0
1	H1	257	internal://	OutTimedOutInterests	0	0	0	0
1	H1	258	appFace://	InInterests	40	0.880469	50	1.10059
1	H1	258	appFace://	OutInterests	0	0	0	0
1	H1	258	appFace://	InData	0	0	0	0
1	H1	258	appFace://	OutData	30.4	31.3797	38	39.2246
1	H1	258	appFace://	InNacks	0	0	0	0
1	H1	258	appFace://	OutNacks	0	0	0	0
1	H1	258	appFace://	InSatisfiedInterests	29.6	0	37	0
1	H1	258	appFace://	InTimedOutInterests	0	0	0	0
1	H1	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	H1	258	appFace://	OutTimedOutInterests	0	0	0	0
1	H1	-1	all	SatisfiedInterests	32	0	40	0
1	H1	-1	all	TimedOutInterests	0	0	0	0
1	H2	1	internal://	InInterests	0	0	0	0
1	H2	1	internal://	OutInterests	0	0	0	0
1	H2	1	internal://	InData	0	0	0	0
1	H2	1	internal://	OutData	0	0	0	0
1	H2	1	internal://	InNacks	0	0	0	0
1	H2	1	internal://	OutNacks	0	0	0	0
1	H2	1	internal://	InSatisfiedInterests	0	0	0	0
1	H2	1	internal://	InTimedOutInterests	0	0	0	0
1	H2	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	H2	1	internal://	OutTimedOutInterests	0	0	0	0
1	H2	257	internal://	InInterests	0	0	0	0
1	H2	257	internal://	OutInterests	0	0	0	0
1	H2	257	internal://	InData	0	0	0	0
1	H2	257	internal://	OutData	0	0	0	0
1	H2	257	internal://	InNacks	0	0	0	0
1	H2	257	internal://	OutNacks	0	0	0	0
1	H2	257	internal://	InSatisfiedInterests	1.6	0	2	0
1	H2	257	internal://	InTimedOutInterests	0	0	0	0
1	H2	257	internal://	OutSatisfiedInterests	0	0	0	0
1	H2	257	internal://	OutTimedOutInterests	0	0	0	0
1	H2	-1	all	SatisfiedInterests	1.6	0	2	0
1	H2	-1	all	TimedOutInterests	0	0	0	0
1	H3	1	internal://	InInterests	0	0	0	0
1	H3	1	internal://	OutInterests	0	0	0	0
1	H3	1	internal://	InData	0	0	0	0
1	H3	1	internal://	OutData	0	0	0	0
1	H3	1	internal://	InNacks	0	0	0	0
1	H3	1	internal://	OutNacks	0	0	0	0
1	H3	1	internal://	InSatisfiedInterests	0	0	0	0
1	H3	1	internal://	InTimedOutInterests	0	0	0	0
1	H3	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	H3	1	internal://	OutTimedOutInterests	0	0	0	0
1	H3	256	netdev://[00:00:00:00:00:05]	InInterests	0	0	0	0
1	H3	256	netdev://[00:00:00:00:00:05]	OutInterests	40	0.898438	50	1.12305
1	H3	256	netdev://[00:00:00:00:00:05]	InData	36.8	37.9859	46	47.4824
1	H3	256	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
1	H3	256	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
1	H3	256	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
1	H3	256	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	0	0	0	0
1	H3	256	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
1	H3	256	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	36.8	0	46	0
1	H3	256	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
1	H3	257	internal://	InInterests	0	0	0	0
1	H3	257	internal://	OutInterests	0	0	0	0
1	H3	257	internal://	InData	0	0	0	0
1	H3	257	internal://	OutData	0	0	0	0
1	H3	257	internal://	InNacks	0	0	0	0
1	H3	257	internal://	OutNacks	0	0	0	0
1	H3	257	internal://	InSatisfiedInterests	1.6	0	2	0
1	H3	257	internal://	InTimedOutInterests	0	0	0	0
1	H3	257	internal://	OutSatisfiedInterests	0	0	0	0
1	H3	257	internal://	OutTimedOutInterests	0	0	0	0
1	H3	258	appFace://	InInterests	40	0.898438	50	1.12305
1	H3	258	appFace://	OutInterests	0	0	0	0
1	H3	258	appFace://	InData	0	0	0	0
